event,date,fighter,opponent,weight_class,outcome,method
UFC 28: High Stakes,2000-11-17,Randy Couture,Kevin Randleman,Heavyweight,win,KO/TKO
UFC 28: High Stakes,2000-11-17,Josh Barnett,Gan McGee,Super Heavyweight,win,KO/TKO
UFC 28: High Stakes,2000-11-17,Renato Sobral,Maurice Smith,Heavyweight,win,M-DEC
UFC 28: High Stakes,2000-11-17,Jens Pulver,John Lewis,Lightweight,win,KO/TKO
UFC 28: High Stakes,2000-11-17,Ben Earwood,Chris Lytle,Welterweight,win,U-DEC
UFC 28: High Stakes,2000-11-17,Mark Hughes,Alex Stiebling,Middleweight,win,U-DEC
UFC 28: High Stakes,2000-11-17,Andrei Arlovski,Aaron Brink,Heavyweight,win,SUB
UFC 29: Defense of the Belts,2000-12-16,Chuck Liddell,Jeff Monson,Middleweight,win,U-DEC
UFC 29: Defense of the Belts,2000-12-16,Dennis Hallman,Matt Hughes,Welterweight,win,SUB
UFC 29: Defense of the Belts,2000-12-16,Evan Tanner,Lance Gibson,Middleweight,win,KO/TKO
UFC 29: Defense of the Belts,2000-12-16,Fabiano Iha,Daiju Takase,Welterweight,win,KO/TKO
UFC 29: Defense of the Belts,2000-12-16,Matt Lindland,Yoji Anjo,Middleweight,win,KO/TKO
UFC 29: Defense of the Belts,2000-12-16,Pat Miletich,Kenichi Yamamoto,Welterweight,win,SUB
UFC 29: Defense of the Belts,2000-12-16,Tito Ortiz,Yuki Kondo,Middleweight,win,SUB
UFC 30: Battle on the Boardwalk,2001-02-23,Tito Ortiz,Evan Tanner,Middleweight,win,KO/TKO
UFC 30: Battle on the Boardwalk,2001-02-23,Jens Pulver,Caol Uno,Lightweight,win,U-DEC
UFC 30: Battle on the Boardwalk,2001-02-23,Fabiano Iha,Phil Johns,Welterweight,win,SUB
UFC 30: Battle on the Boardwalk,2001-02-23,Elvis Sinosic,Jeremy Horn,Middleweight,win,SUB
UFC 30: Battle on the Boardwalk,2001-02-23,Pedro Rizzo,Josh Barnett,Heavyweight,win,KO/TKO
UFC 30: Battle on the Boardwalk,2001-02-23,Phil Baroni,Curtis Stout,Middleweight,win,U-DEC
UFC 30: Battle on the Boardwalk,2001-02-23,Sean Sherk,Tiki Ghosn,Welterweight,win,SUB
UFC 31: Locked and Loaded,2001-05-04,Tony DeSouza,Steve Berger,Welterweight,win,U-DEC
UFC 31: Locked and Loaded,2001-05-04,BJ Penn,Joey Gilbert,Lightweight,win,KO/TKO
UFC 31: Locked and Loaded,2001-05-04,Matt Lindland,Ricardo Almeida,Light Heavyweight,win,DQ
UFC 31: Locked and Loaded,2001-05-04,Semmy Schilt,Pete Williams,Heavyweight,win,KO/TKO
UFC 31: Locked and Loaded,2001-05-04,Shonie Carter,Matt Serra,Welterweight,win,KO/TKO
UFC 31: Locked and Loaded,2001-05-04,Chuck Liddell,Kevin Randleman,Light Heavyweight,win,KO/TKO
UFC 31: Locked and Loaded,2001-05-04,Carlos Newton,Pat Miletich,Welterweight,win,SUB
UFC 31: Locked and Loaded,2001-05-04,Randy Couture,Pedro Rizzo,Heavyweight,win,U-DEC
UFC 32: Showdown in the Meadowlands,2001-06-29,Tito Ortiz,Elvis Sinosic,Light Heavyweight,win,KO/TKO
UFC 32: Showdown in the Meadowlands,2001-06-29,BJ Penn,Din Thomas,Lightweight,win,KO/TKO
UFC 32: Showdown in the Meadowlands,2001-06-29,Josh Barnett,Semmy Schilt,Heavyweight,win,SUB
UFC 32: Showdown in the Meadowlands,2001-06-29,Pat Miletich,Shonie Carter,Welterweight,win,KO/TKO
UFC 32: Showdown in the Meadowlands,2001-06-29,Caol Uno,Fabiano Iha,Lightweight,win,KO/TKO
UFC 32: Showdown in the Meadowlands,2001-06-29,Vladimir Matyushenko,Yuki Kondo,Light Heavyweight,win,U-DEC
UFC 32: Showdown in the Meadowlands,2001-06-29,Ricco Rodriguez,Andrei Arlovski,Heavyweight,win,KO/TKO
UFC 32: Showdown in the Meadowlands,2001-06-29,Tony DeSouza,Paul Rodriguez,Welterweight,win,SUB
UFC 33: Victory in Vegas,2001-09-28,Din Thomas,Fabiano Iha,Lightweight,win,U-DEC
UFC 33: Victory in Vegas,2001-09-28,Ricardo Almeida,Eugene Jackson,Middleweight,win,SUB
UFC 33: Victory in Vegas,2001-09-28,Jutaro Nakao,Tony DeSouza,Welterweight,win,KO/TKO
UFC 33: Victory in Vegas,2001-09-28,Dave Menne,Gil Castillo,Middleweight,win,U-DEC
UFC 33: Victory in Vegas,2001-09-28,Matt Serra,Yves Edwards,Welterweight,win,M-DEC
UFC 33: Victory in Vegas,2001-09-28,Chuck Liddell,Murilo Bustamante,Light Heavyweight,win,U-DEC
UFC 33: Victory in Vegas,2001-09-28,Jens Pulver,Dennis Hallman,Lightweight,win,U-DEC
UFC 33: Victory in Vegas,2001-09-28,Tito Ortiz,Vladimir Matyushenko,Light Heavyweight,win,U-DEC
UFC 34: High Voltage,2001-11-02,Randy Couture,Pedro Rizzo,Heavyweight,win,KO/TKO
UFC 34: High Voltage,2001-11-02,Ricco Rodriguez,Pete Williams,Heavyweight,win,KO/TKO
UFC 34: High Voltage,2001-11-02,Matt Hughes,Carlos Newton,Welterweight,win,KO/TKO
UFC 34: High Voltage,2001-11-02,BJ Penn,Caol Uno,Lightweight,win,KO/TKO
UFC 34: High Voltage,2001-11-02,Josh Barnett,Bobby Hoffman,Heavyweight,win,KO/TKO
UFC 34: High Voltage,2001-11-02,Evan Tanner,Homer Moore,Light Heavyweight,win,SUB
UFC 34: High Voltage,2001-11-02,Matt Lindland,Phil Baroni,Middleweight,win,M-DEC
UFC 34: High Voltage,2001-11-02,Frank Mir,Roberto Traven,Heavyweight,win,SUB
UFC 35: Throwdown,2002-01-11,Eugene Jackson,Keith Rockel,Middleweight,win,SUB
UFC 35: Throwdown,2002-01-11,Gil Castillo,Chris Brennan,Welterweight,win,U-DEC
UFC 35: Throwdown,2002-01-11,Kevin Randleman,Renato Sobral,Light Heavyweight,win,U-DEC
UFC 35: Throwdown,2002-01-11,Andrei Semenov,Ricardo Almeida,Middleweight,win,KO/TKO
UFC 35: Throwdown,2002-01-11,Chuck Liddell,Amar Suloev,Light Heavyweight,win,U-DEC
UFC 35: Throwdown,2002-01-11,Murilo Bustamante,Dave Menne,Middleweight,win,KO/TKO
UFC 35: Throwdown,2002-01-11,Ricco Rodriguez,Jeff Monson,Heavyweight,win,KO/TKO
UFC 35: Throwdown,2002-01-11,Jens Pulver,BJ Penn,Lightweight,win,M-DEC
UFC 36: Worlds Collide,2002-03-22,Josh Barnett,Randy Couture,Heavyweight,win,KO/TKO
UFC 36: Worlds Collide,2002-03-22,Pedro Rizzo,Andrei Arlovski,Heavyweight,win,KO/TKO
UFC 36: Worlds Collide,2002-03-22,Matt Hughes,Hayato Sakurai,Welterweight,win,KO/TKO
UFC 36: Worlds Collide,2002-03-22,Evan Tanner,Elvis Sinosic,Light Heavyweight,win,KO/TKO
UFC 36: Worlds Collide,2002-03-22,Sean Sherk,Jutaro Nakao,Welterweight,win,U-DEC
UFC 36: Worlds Collide,2002-03-22,Matt Serra,Kelly Dullanty,Lightweight,win,SUB
UFC 36: Worlds Collide,2002-03-22,Matt Lindland,Pat Miletich,Middleweight,win,KO/TKO
UFC 36: Worlds Collide,2002-03-22,Frank Mir,Pete Williams,Heavyweight,win,SUB
UFC 37: High Impact,2002-05-10,Robbie Lawler,Aaron Riley,Welterweight,win,U-DEC
UFC 37: High Impact,2002-05-10,Ivan Salaverry,Andrei Semenov,Middleweight,win,KO/TKO
UFC 37: High Impact,2002-05-10,Caol Uno,Yves Edwards,Lightweight,win,U-DEC
UFC 37: High Impact,2002-05-10,Phil Baroni,Amar Suloev,Middleweight,win,KO/TKO
UFC 37: High Impact,2002-05-10,BJ Penn,Paul Creighton,Lightweight,win,KO/TKO
UFC 37: High Impact,2002-05-10,Ricco Rodriguez,Tsuyoshi Kohsaka,Heavyweight,win,KO/TKO
UFC 37: High Impact,2002-05-10,Murilo Bustamante,Matt Lindland,Middleweight,win,SUB
UFC 37.5: As Real As It Gets,2002-06-22,Chuck Liddell,Vitor Belfort,Light Heavyweight,win,U-DEC
UFC 37.5: As Real As It Gets,2002-06-22,Benji Radach,Nick Serra,Welterweight,win,U-DEC
UFC 37.5: As Real As It Gets,2002-06-22,Pete Spratt,Zach Light,Welterweight,win,SUB
UFC 37.5: As Real As It Gets,2002-06-22,Tony Fryklund,Rodrigo Ruas,Middleweight,win,KO/TKO
UFC 37.5: As Real As It Gets,2002-06-22,Yves Edwards,Joao Pierini,Lightweight,win,KO/TKO
UFC 37.5: As Real As It Gets,2002-06-22,Robbie Lawler,Steve Berger,Welterweight,win,KO/TKO
UFC 38: Brawl at the Hall,2002-07-13,Evan Tanner,Chris Haseman,Light Heavyweight,win,U-DEC
UFC 38: Brawl at the Hall,2002-07-13,Renato Sobral,Elvis Sinosic,Light Heavyweight,win,U-DEC
UFC 38: Brawl at the Hall,2002-07-13,Phillip Miller,James Zikic,Light Heavyweight,win,U-DEC
UFC 38: Brawl at the Hall,2002-07-13,Genki Sudo,Leigh Remedios,Lightweight,win,SUB
UFC 38: Brawl at the Hall,2002-07-13,Mark Weir,Eugene Jackson,Middleweight,win,KO/TKO
UFC 38: Brawl at the Hall,2002-07-13,Ian Freeman,Frank Mir,Heavyweight,win,KO/TKO
UFC 38: Brawl at the Hall,2002-07-13,Matt Hughes,Carlos Newton,Welterweight,win,KO/TKO
UFC 39: The Warriors Return,2002-09-27,Ricco Rodriguez,Randy Couture,Heavyweight,win,KO/TKO
UFC 39: The Warriors Return,2002-09-27,Tim Sylvia,Wesley Correira,Heavyweight,win,KO/TKO
UFC 39: The Warriors Return,2002-09-27,BJ Penn,Matt Serra,Lightweight,win,U-DEC
UFC 39: The Warriors Return,2002-09-27,Caol Uno,Din Thomas,Lightweight,win,U-DEC
UFC 39: The Warriors Return,2002-09-27,Phil Baroni,Dave Menne,Middleweight,win,KO/TKO
UFC 39: The Warriors Return,2002-09-27,Matt Lindland,Ivan Salaverry,Middleweight,win,U-DEC
UFC 39: The Warriors Return,2002-09-27,Sean Sherk,Benji Radach,Welterweight,win,KO/TKO
UFC 39: The Warriors Return,2002-09-27,Gan McGee,Pedro Rizzo,Heavyweight,win,KO/TKO
UFC 40: Vendetta,2002-11-22,Phillip Miller,Mark Weir,Middleweight,win,SUB
UFC 40: Vendetta,2002-11-22,Vladimir Matyushenko,Travis Wiuff,Heavyweight,win,KO/TKO
UFC 40: Vendetta,2002-11-22,Andrei Arlovski,Ian Freeman,Heavyweight,win,KO/TKO
UFC 40: Vendetta,2002-11-22,Robbie Lawler,Tiki Ghosn,Welterweight,win,KO/TKO
UFC 40: Vendetta,2002-11-22,Carlos Newton,Pete Spratt,Welterweight,win,SUB
UFC 40: Vendetta,2002-11-22,Matt Hughes,Gil Castillo,Welterweight,win,KO/TKO
UFC 40: Vendetta,2002-11-22,Chuck Liddell,Renato Sobral,Light Heavyweight,win,KO/TKO
UFC 40: Vendetta,2002-11-22,Tito Ortiz,Ken Shamrock,Light Heavyweight,win,KO/TKO
UFC 41: Onslaught,2003-02-28,Tim Sylvia,Ricco Rodriguez,Heavyweight,win,KO/TKO
UFC 41: Onslaught,2003-02-28,Frank Mir,David Abbott,Heavyweight,win,SUB
UFC 41: Onslaught,2003-02-28,BJ Penn,Caol Uno,Lightweight,draw,S-DEC
UFC 41: Onslaught,2003-02-28,Din Thomas,Matt Serra,Lightweight,win,S-DEC
UFC 41: Onslaught,2003-02-28,Vladimir Matyushenko,Pedro Rizzo,Heavyweight,win,U-DEC
UFC 41: Onslaught,2003-02-28,Gan McGee,Alexandre Dantas,Heavyweight,win,KO/TKO
UFC 41: Onslaught,2003-02-28,Yves Edwards,Rich Clementi,Lightweight,win,SUB
UFC 41: Onslaught,2003-02-28,Matt Lindland,Phil Baroni,Middleweight,win,U-DEC
UFC 42: Sudden Impact,2003-04-25,David Loiseau,Mark Weir,Middleweight,win,KO/TKO
UFC 42: Sudden Impact,2003-04-25,Hermes Franca,Richard Crunkilton,Lightweight,win,U-DEC
UFC 42: Sudden Impact,2003-04-25,Duane Ludwig,Genki Sudo,Lightweight,win,U-DEC
UFC 42: Sudden Impact,2003-04-25,Rich Franklin,Evan Tanner,Light Heavyweight,win,KO/TKO
UFC 42: Sudden Impact,2003-04-25,Wesley Correira,Sean Alvarez,Heavyweight,win,KO/TKO
UFC 42: Sudden Impact,2003-04-25,Dave Strasser,Romie Aram,Welterweight,win,U-DEC
UFC 42: Sudden Impact,2003-04-25,Pete Spratt,Robbie Lawler,Welterweight,win,SUB
UFC 42: Sudden Impact,2003-04-25,Matt Hughes,Sean Sherk,Welterweight,win,U-DEC
UFC 43: Meltdown,2003-06-06,Vitor Belfort,Marvin Eastman,Light Heavyweight,win,KO/TKO
UFC 43: Meltdown,2003-06-06,Randy Couture,Chuck Liddell,Light Heavyweight,win,KO/TKO
UFC 43: Meltdown,2003-06-06,Vernon White,Ian Freeman,Heavyweight,draw,S-DEC
UFC 43: Meltdown,2003-06-06,Kimo Leopoldo,David Abbott,Heavyweight,win,SUB
UFC 43: Meltdown,2003-06-06,Yves Edwards,Eddie Ruiz,Lightweight,win,U-DEC
UFC 43: Meltdown,2003-06-06,Pedro Rizzo,Tra Telligman,Heavyweight,win,KO/TKO
UFC 43: Meltdown,2003-06-06,Frank Mir,Wes Sims,Heavyweight,win,DQ
UFC 43: Meltdown,2003-06-06,Falaniko Vitale,Matt Lindland,Middleweight,win,KO/TKO
UFC 44: Undisputed,2003-09-26,Hermes Franca,Caol Uno,Lightweight,win,KO/TKO
UFC 44: Undisputed,2003-09-26,Nick Diaz,Jeremy Jackson,Welterweight,win,SUB
UFC 44: Undisputed,2003-09-26,Josh Thomson,Gerald Strebendt,Lightweight,win,KO/TKO
UFC 44: Undisputed,2003-09-26,Karo Parisyan,Dave Strasser,Welterweight,win,SUB
UFC 44: Undisputed,2003-09-26,Rich Franklin,Edwin DeWees,Light Heavyweight,win,KO/TKO
UFC 44: Undisputed,2003-09-26,Jorge Rivera,David Loiseau,Middleweight,win,U-DEC
UFC 44: Undisputed,2003-09-26,Tim Sylvia,Gan McGee,Heavyweight,win,KO/TKO
UFC 44: Undisputed,2003-09-26,Andrei Arlovski,Vladimir Matyushenko,Heavyweight,win,KO/TKO
UFC 44: Undisputed,2003-09-26,Randy Couture,Tito Ortiz,Light Heavyweight,win,U-DEC
UFC 45: Revolution,2003-11-21,Matt Hughes,Frank Trigg,Welterweight,win,SUB
UFC 45: Revolution,2003-11-21,Matt Lindland,Falaniko Vitale,Middleweight,win,KO/TKO
UFC 45: Revolution,2003-11-21,Evan Tanner,Phil Baroni,Middleweight,win,KO/TKO
UFC 45: Revolution,2003-11-21,Wesley Correira,David Abbott,Heavyweight,win,KO/TKO
UFC 45: Revolution,2003-11-21,Pedro Rizzo,Ricco Rodriguez,Heavyweight,win,U-DEC
UFC 45: Revolution,2003-11-21,Keith Rockel,Chris Liguori,Middleweight,win,SUB
UFC 45: Revolution,2003-11-21,Yves Edwards,Nick Agallar,Lightweight,win,KO/TKO
UFC 45: Revolution,2003-11-21,Robbie Lawler,Chris Lytle,Welterweight,win,U-DEC
UFC 46: Supernatural,2004-01-31,Matt Serra,Jeff Curran,Lightweight,win,U-DEC
UFC 46: Supernatural,2004-01-31,Josh Thomson,Hermes Franca,Lightweight,win,M-DEC
UFC 46: Supernatural,2004-01-31,Georges St-Pierre,Karo Parisyan,Welterweight,win,U-DEC
UFC 46: Supernatural,2004-01-31,Lee Murray,Jorge Rivera,Middleweight,win,SUB
UFC 46: Supernatural,2004-01-31,Frank Mir,Wes Sims,Heavyweight,win,KO/TKO
UFC 46: Supernatural,2004-01-31,BJ Penn,Matt Hughes,Welterweight,win,SUB
UFC 46: Supernatural,2004-01-31,Renato Verissimo,Carlos Newton,Welterweight,win,U-DEC
UFC 46: Supernatural,2004-01-31,Vitor Belfort,Randy Couture,Light Heavyweight,win,KO/TKO
UFC 47: It's On!,2004-04-02,Chuck Liddell,Tito Ortiz,Light Heavyweight,win,KO/TKO
UFC 47: It's On!,2004-04-02,Chris Lytle,Tiki Ghosn,Welterweight,win,SUB
UFC 47: It's On!,2004-04-02,Andrei Arlovski,Wesley Correira,Heavyweight,win,KO/TKO
UFC 47: It's On!,2004-04-02,Yves Edwards,Hermes Franca,Lightweight,win,S-DEC
UFC 47: It's On!,2004-04-02,Mike Kyle,Wes Sims,Heavyweight,win,KO/TKO
UFC 47: It's On!,2004-04-02,Genki Sudo,Mike Brown,Lightweight,win,SUB
UFC 47: It's On!,2004-04-02,Nick Diaz,Robbie Lawler,Welterweight,win,KO/TKO
UFC 47: It's On!,2004-04-02,Jonathan Wiezorek,Wade Shipp,Heavyweight,win,KO/TKO
UFC 48: Payback,2004-06-19,Trevor Prangley,Curtis Stout,Middleweight,win,SUB
UFC 48: Payback,2004-06-19,Georges St-Pierre,Jay Hieron,Welterweight,win,KO/TKO
UFC 48: Payback,2004-06-19,Matt Serra,Ivan Menjivar,Lightweight,win,U-DEC
UFC 48: Payback,2004-06-19,Evan Tanner,Phil Baroni,Middleweight,win,U-DEC
UFC 48: Payback,2004-06-19,Matt Hughes,Renato Verissimo,Welterweight,win,U-DEC
UFC 48: Payback,2004-06-19,Frank Mir,Tim Sylvia,Heavyweight,win,SUB
UFC 48: Payback,2004-06-19,Frank Trigg,Dennis Hallman,Welterweight,win,KO/TKO
UFC 48: Payback,2004-06-19,Ken Shamrock,Kimo Leopoldo,Heavyweight,win,KO/TKO
UFC 49: Unfinished Business,2004-08-21,Randy Couture,Vitor Belfort,Light Heavyweight,win,KO/TKO
UFC 49: Unfinished Business,2004-08-21,Joe Riggs,Joe Doerksen,Middleweight,win,KO/TKO
UFC 49: Unfinished Business,2004-08-21,Chuck Liddell,Vernon White,Light Heavyweight,win,KO/TKO
UFC 49: Unfinished Business,2004-08-21,Chris Lytle,Ronald Jhun,Welterweight,win,SUB
UFC 49: Unfinished Business,2004-08-21,Karo Parisyan,Nick Diaz,Welterweight,win,S-DEC
UFC 49: Unfinished Business,2004-08-21,Yves Edwards,Josh Thomson,Lightweight,win,KO/TKO
UFC 49: Unfinished Business,2004-08-21,Justin Eilers,Mike Kyle,Heavyweight,win,KO/TKO
UFC 49: Unfinished Business,2004-08-21,David Terrell,Matt Lindland,Middleweight,win,KO/TKO
UFC 50: The War Of '04,2004-10-22,Travis Lutter,Marvin Eastman,Light Heavyweight,win,KO/TKO
UFC 50: The War Of '04,2004-10-22,Ivan Salaverry,Tony Fryklund,Middleweight,win,SUB
UFC 50: The War Of '04,2004-10-22,Evan Tanner,Robbie Lawler,Middleweight,win,SUB
UFC 50: The War Of '04,2004-10-22,Frank Trigg,Renato Verissimo,Welterweight,win,KO/TKO
UFC 50: The War Of '04,2004-10-22,Matt Hughes,Georges St-Pierre,Welterweight,win,SUB
UFC 50: The War Of '04,2004-10-22,Rich Franklin,Jorge Rivera,Middleweight,win,SUB
UFC 50: The War Of '04,2004-10-22,Tito Ortiz,Patrick Cote,Light Heavyweight,win,U-DEC
UFC 51: Super Saturday,2005-02-05,Evan Tanner,David Terrell,Middleweight,win,KO/TKO
UFC 51: Super Saturday,2005-02-05,Tito Ortiz,Vitor Belfort,Light Heavyweight,win,S-DEC
UFC 51: Super Saturday,2005-02-05,Pete Sell,Phil Baroni,Middleweight,win,SUB
UFC 51: Super Saturday,2005-02-05,Andrei Arlovski,Tim Sylvia,Heavyweight,win,SUB
UFC 51: Super Saturday,2005-02-05,Paul Buentello,Justin Eilers,Heavyweight,win,KO/TKO
UFC 51: Super Saturday,2005-02-05,David Loiseau,Gideon Ray,Middleweight,win,KO/TKO
UFC 51: Super Saturday,2005-02-05,Nick Diaz,Drew Fickett,Welterweight,win,KO/TKO
UFC 51: Super Saturday,2005-02-05,Mike Kyle,James Irvin,Heavyweight,win,KO/TKO
UFC 51: Super Saturday,2005-02-05,Karo Parisyan,Chris Lytle,Welterweight,win,U-DEC
The Ultimate Fighter: Team Couture vs. Team Liddell Finale,2005-04-09,Alex Karalexis,Josh Rafferty,Welterweight,win,KO/TKO
The Ultimate Fighter: Team Couture vs. Team Liddell Finale,2005-04-09,Mike Swick,Alex Schoenauer,Middleweight,win,KO/TKO
The Ultimate Fighter: Team Couture vs. Team Liddell Finale,2005-04-09,Nate Quarry,Lodune Sincaid,Middleweight,win,KO/TKO
The Ultimate Fighter: Team Couture vs. Team Liddell Finale,2005-04-09,Josh Koscheck,Chris Sanford,Middleweight,win,KO/TKO
The Ultimate Fighter: Team Couture vs. Team Liddell Finale,2005-04-09,Chris Leben,Jason Thacker,Middleweight,win,KO/TKO
The Ultimate Fighter: Team Couture vs. Team Liddell Finale,2005-04-09,Sam Hoger,Bobby Southworth,Light Heavyweight,win,U-DEC
The Ultimate Fighter: Team Couture vs. Team Liddell Finale,2005-04-09,Diego Sanchez,Kenny Florian,Middleweight,win,KO/TKO
The Ultimate Fighter: Team Couture vs. Team Liddell Finale,2005-04-09,Forrest Griffin,Stephan Bonnar,Light Heavyweight,win,U-DEC
The Ultimate Fighter: Team Couture vs. Team Liddell Finale,2005-04-09,Rich Franklin,Ken Shamrock,Light Heavyweight,win,KO/TKO
UFC 52: Couture vs Liddell 2,2005-04-16,Chuck Liddell,Randy Couture,Light Heavyweight,win,KO/TKO
UFC 52: Couture vs Liddell 2,2005-04-16,Renato Sobral,Travis Wiuff,Light Heavyweight,win,SUB
UFC 52: Couture vs Liddell 2,2005-04-16,Matt Lindland,Travis Lutter,Middleweight,win,SUB
UFC 52: Couture vs Liddell 2,2005-04-16,Matt Hughes,Frank Trigg,Welterweight,win,SUB
UFC 52: Couture vs Liddell 2,2005-04-16,Ivan Salaverry,Joe Riggs,Middleweight,win,SUB
UFC 52: Couture vs Liddell 2,2005-04-16,Joe Doerksen,Patrick Cote,Middleweight,win,SUB
UFC 52: Couture vs Liddell 2,2005-04-16,Mike van Arsdale,John Marsh,Heavyweight,win,U-DEC
UFC 52: Couture vs Liddell 2,2005-04-16,Georges St-Pierre,Jason Miller,Welterweight,win,U-DEC
UFC 53: Heavy Hitters,2005-06-04,Nick Diaz,Koji Oishi,Welterweight,win,KO/TKO
UFC 53: Heavy Hitters,2005-06-04,David Loiseau,Charles McCarthy,Middleweight,win,KO/TKO
UFC 53: Heavy Hitters,2005-06-04,Nate Quarry,Shonie Carter,Middleweight,win,KO/TKO
UFC 53: Heavy Hitters,2005-06-04,Paul Buentello,Kevin Jordan,Heavyweight,win,SUB
UFC 53: Heavy Hitters,2005-06-04,Forrest Griffin,Bill Mahood,Light Heavyweight,win,SUB
UFC 53: Heavy Hitters,2005-06-04,Rich Franklin,Evan Tanner,Middleweight,win,KO/TKO
UFC 53: Heavy Hitters,2005-06-04,Karo Parisyan,Matt Serra,Welterweight,win,U-DEC
UFC 53: Heavy Hitters,2005-06-04,Andrei Arlovski,Justin Eilers,Heavyweight,win,KO/TKO
UFC Fight Night 1,2005-08-06,Nate Marquardt,Ivan Salaverry,Middleweight,win,U-DEC
UFC Fight Night 1,2005-08-06,Chris Leben,Patrick Cote,Middleweight,win,S-DEC
UFC Fight Night 1,2005-08-06,Stephan Bonnar,Sam Hoger,Light Heavyweight,win,U-DEC
UFC Fight Night 1,2005-08-06,Josh Koscheck,Pete Spratt,Welterweight,win,SUB
UFC Fight Night 1,2005-08-06,Mike Swick,Gideon Ray,Middleweight,win,KO/TKO
UFC Fight Night 1,2005-08-06,Kenny Florian,Alex Karalexis,Welterweight,win,KO/TKO
UFC Fight Night 1,2005-08-06,Drew Fickett,Josh Neer,Welterweight,win,SUB
UFC Fight Night 1,2005-08-06,Nate Quarry,Pete Sell,Middleweight,win,KO/TKO
UFC 54: Boiling Point,2005-08-20,James Irvin,Terry Martin,Light Heavyweight,win,KO/TKO
UFC 54: Boiling Point,2005-08-20,Trevor Prangley,Travis Lutter,Middleweight,win,U-DEC
UFC 54: Boiling Point,2005-08-20,Matt Lindland,Joe Doerksen,Middleweight,win,U-DEC
UFC 54: Boiling Point,2005-08-20,Georges St-Pierre,Frank Trigg,Welterweight,win,SUB
UFC 54: Boiling Point,2005-08-20,Diego Sanchez,Brian Gassaway,Welterweight,win,KO/TKO
UFC 54: Boiling Point,2005-08-20,Randy Couture,Mike van Arsdale,Light Heavyweight,win,SUB
UFC 54: Boiling Point,2005-08-20,Tim Sylvia,Tra Telligman,Heavyweight,win,KO/TKO
UFC 54: Boiling Point,2005-08-20,Chuck Liddell,Jeremy Horn,Light Heavyweight,win,KO/TKO
UFC Fight Night 2,2005-10-03,David Loiseau,Evan Tanner,Middleweight,win,KO/TKO
UFC Fight Night 2,2005-10-03,Chris Leben,Edwin DeWees,Middleweight,win,SUB
UFC Fight Night 2,2005-10-03,Brandon Vera,Fabiano Scherner,Heavyweight,win,KO/TKO
UFC Fight Night 2,2005-10-03,Drew Fickett,Josh Koscheck,Welterweight,win,SUB
UFC Fight Night 2,2005-10-03,Jon Fitch,Brock Larson,Middleweight,win,U-DEC
UFC Fight Night 2,2005-10-03,Jonathan Goulet,Jay Hieron,Welterweight,win,KO/TKO
UFC Fight Night 2,2005-10-03,Spencer Fisher,Thiago Alves,Welterweight,win,SUB
UFC 55: Fury,2005-10-07,Marcio Cruz,Keigo Kunihara,Heavyweight,win,SUB
UFC 55: Fury,2005-10-07,Jorge Rivera,Dennis Hallman,Middleweight,win,U-DEC
UFC 55: Fury,2005-10-07,Joe Riggs,Chris Lytle,Welterweight,win,KO/TKO
UFC 55: Fury,2005-10-07,Renato Sobral,Chael Sonnen,Light Heavyweight,win,SUB
UFC 55: Fury,2005-10-07,Forrest Griffin,Elvis Sinosic,Light Heavyweight,win,KO/TKO
UFC 55: Fury,2005-10-07,Branden Lee Hinkle,Sean Gannon,Heavyweight,win,KO/TKO
UFC 55: Fury,2005-10-07,Andrei Arlovski,Paul Buentello,Heavyweight,win,KO/TKO
The Ultimate Fighter: Team Hughes vs. Team Franklin Finale,2005-11-05,Rashad Evans,Brad Imes,Heavyweight,win,S-DEC
The Ultimate Fighter: Team Hughes vs. Team Franklin Finale,2005-11-05,Diego Sanchez,Nick Diaz,Welterweight,win,U-DEC
The Ultimate Fighter: Team Hughes vs. Team Franklin Finale,2005-11-05,Joe Stevenson,Luke Cummo,Welterweight,win,U-DEC
The Ultimate Fighter: Team Hughes vs. Team Franklin Finale,2005-11-05,Joshua Burkman,Sammy Morgan,Welterweight,win,KO/TKO
The Ultimate Fighter: Team Hughes vs. Team Franklin Finale,2005-11-05,Kenny Florian,Kit Cope,Welterweight,win,SUB
The Ultimate Fighter: Team Hughes vs. Team Franklin Finale,2005-11-05,Keith Jardine,Kerry Schall,Heavyweight,win,KO/TKO
The Ultimate Fighter: Team Hughes vs. Team Franklin Finale,2005-11-05,Melvin Guillard,Marcus Davis,Welterweight,win,KO/TKO
UFC 56: Full Force,2005-11-19,Nick Thompson,Keith Wisniewski,Welterweight,win,U-DEC
UFC 56: Full Force,2005-11-19,Thiago Alves,Ansar Chalangov,Welterweight,win,KO/TKO
UFC 56: Full Force,2005-11-19,Sam Hoger,Jeff Newton,Light Heavyweight,win,SUB
UFC 56: Full Force,2005-11-19,Jeremy Horn,Trevor Prangley,Middleweight,win,U-DEC
UFC 56: Full Force,2005-11-19,Georges St-Pierre,Sean Sherk,Welterweight,win,KO/TKO
UFC 56: Full Force,2005-11-19,Matt Hughes,Joe Riggs,Welterweight,win,SUB
UFC 56: Full Force,2005-11-19,Gabriel Gonzaga,Kevin Jordan,Heavyweight,win,KO/TKO
UFC 56: Full Force,2005-11-19,Rich Franklin,Nate Quarry,Middleweight,win,KO/TKO
