,name,current_rating,peak_rating,current_streak,best_streak
523,Justin Wren,1447.3915292662846,1447.3915292662846,-1,0
1325,Justine Kish,1498.1374844641407,1750.2312010697042,-2,2
52,Jutaro Nakao,1725.135209703446,1855.861666741183,-1,1
1916,KB Bhullar,1276.3958362781295,1421.0842790382571,-2,0
911,KJ Noons,1527.1271487326885,1886.4683884045648,-2,2
2334,Kaan Ofli,1332.3791625876827,1360.3599892988498,-2,0
2362,Kai Asakura,1474.6463472609125,1474.6463472609125,-1,0
1889,Kai Kamaka,1381.1761523107193,1736.1119303476282,-2,1
1675,Kai Kara-France,1893.031182399713,1932.6269043517432,-1,3
1189,Kailin Curran,1176.6993331492042,1365.4639614003188,-4,1
1091,Kajan Johnson,1792.9935185083355,1835.604245733049,-2,4
222,Kalib Starnes,1550.1285513698936,1736.1119303476282,-2,1
1520,Kalindra Faria,1280.5019435072254,1360.3599892988498,-3,0
640,Kamal Shalorus,1236.6894035289324,1473.3996087191651,-3,0
1268,Kamaru Usman,2358.6129749043735,2537.0559962326633,1,15
1990,Kamuela Kirk,1530.4136844664997,1944.6235564969115,-2,1
1931,Kanako Murata,1400.7849394456994,1761.046549443071,-2,1
1554,Karine Gevorgyan,1360.3599892988498,1360.3599892988498,-1,0
2088,Karine Silva,1803.8825526065687,1959.7420864027843,-1,4
1528,Karl Roberson,1475.8830035690046,1715.7536386932422,-4,2
2176,Karl Williams,1689.048144637504,1849.3165720233699,-1,3
566,Karlos Vemola,1351.8243909127625,1497.1819800165194,-2,1
111,Karo Parisyan,1782.2603734631143,1975.1824238864351,-2,4
1770,Karol Rosa,1634.2998999665626,1876.5166911059969,-1,4
1321,Karolina Kowalkiewicz,1541.787186401425,1921.3731389979187,-2,4
1374,Katlyn Cerminara,1850.4852232085084,1973.999219970361,-2,4
995,Katsunori Kikuno,1569.1336366917908,1683.8624140598579,-2,1
2251,Kaue Fernandes,1659.1933631695406,1659.1933631695406,2,2
1858,Kay Hansen,1270.2913223877995,1736.1119303476282,-3,1
2304,Kayla Harrison,2207.143498212037,2207.143498212037,3,3
2250,Kaynan Kruschewsky,1223.959048984733,1433.905411971797,-2,0
344,Kazuhiro Nakamura,1229.7896223640432,1424.3092694330428,-2,0
865,Kazuki Tokudome,1422.683240392659,1707.090528249999,-3,1
1766,Kazula Vargas,1418.766535686963,1495.9792223875086,-1,1
178,Keigo Kunihara,1360.3599892988498,1360.3599892988498,-1,0
284,Keita Nakamura,1547.4062926526244,1757.2550636141118,-1,1
1436,Keith Berish,1360.3599892988498,1360.3599892988498,-1,0
185,Keith Jardine,1636.0691719698254,1855.839347756866,-4,2
64,Keith Rockel,1499.0547419193574,1499.0547419193574,1,1
194,Keith Wisniewski,1172.2057879075135,1360.3599892988498,-4,0
65,Kelly Dullanty,1312.7818005778236,1312.7818005778236,-1,0
